cityName,country,lat,lng,temp,humidity,cloudiness,winds
teguldet,ru,57.31,88.17,-5.97,57,36,4.85
mar del plata,ar,-46.43,-67.52,59.1,54,8,19.06
smithers,ca,54.78,-127.17,26.6,100,90,5.82
mataura,pf,-46.19,168.86,57.12,62,32,17.83
kodiak,us,39.95,-94.76,34.07,61,90,9.44
touros,br,-5.2,-35.46,75.2,88,40,3.36
snezhnogorsk,ru,69.19,33.23,24.8,73,40,6.71
dikson,ru,73.51,80.55,-18.89,100,32,6.42
pevek,ru,69.7,170.27,9.2,72,76,22.3
gazojak,tm,41.19,61.4,27.02,99,56,8.21
chokurdakh,ru,70.62,147.9,-33.15,59,48,2.95
cherskiy,ru,68.75,161.3,3.39,56,0,7.65
kapaa,us,22.08,-159.32,71.96,84,40,3.36
batticaloa,lk,7.71,81.69,78.99,96,92,10.78
faanui,pf,-16.48,-151.75,83.72,100,92,18.05
miri,my,10.31,9.75,52.89,61,0,3.29
vaini,to,15.34,74.49,78.8,31,0,9.17
adrar,dz,27.87,-0.29,39.2,38,0,5.82
dingle,ie,11.0,122.67,83.9,64,48,16.71
mizdah,ly,31.45,12.98,38.67,64,76,7.76
nanortalik,gl,60.14,-45.24,25.71,86,12,9.78
vitim,ru,59.44,112.57,14.73,74,64,4.85
talnakh,ru,69.49,88.39,-28.74,45,44,3.4
caruray,ph,10.31,119.01,86.0,70,40,23.04
benoy,td,43.06,46.02,28.4,92,90,1.61
malinovoye ozero,ru,51.68,79.77,5.64,83,64,4.18
severo-kurilsk,ru,50.68,156.12,15.36,100,0,2.84
butaritari,ki,3.07,172.79,85.97,99,92,9.66
saskylakh,ru,71.97,114.09,-39.14,0,64,3.18
baruun-urt,mn,46.68,113.28,15.9,56,0,16.71
hosanagara,in,13.92,75.07,84.75,38,0,2.95
qandala,so,11.47,49.87,68.24,91,8,1.5
alampur,in,15.88,78.14,79.94,52,0,9.33
port alfred,za,-33.59,26.89,69.36,85,48,2.62
hambantota,lk,6.12,81.12,84.2,74,40,10.29
hibbing,us,47.43,-92.94,18.07,84,90,8.05
cam ranh,vn,11.92,109.15,86.0,70,20,14.99
norilsk,ru,69.35,88.2,-28.74,45,44,3.4
ayutla,mx,20.13,-104.35,49.34,89,12,2.39
lebu,cl,8.96,38.73,51.8,50,0,4.7
aconibe,gq,1.29,10.94,71.97,96,92,2.95
saint-pierre,pm,48.95,4.24,30.69,100,92,4.7
fuyang,cn,32.89,115.81,40.25,100,76,4.63
gornopravdinsk,ru,60.06,69.92,-16.68,74,36,2.62
alugan,ph,12.22,125.48,81.74,86,36,16.04
arraial do cabo,br,-22.97,-42.02,75.62,92,20,14.47
westport,ie,53.8,-9.52,37.05,100,36,4.52
malangali,tz,-8.57,34.85,72.78,85,64,4.85
ponta do sol,cv,-20.63,-46.0,66.03,86,56,2.62
isiro,cd,2.77,27.62,72.92,82,36,2.95
jalu,ly,29.03,21.55,33.95,67,0,3.51
ternate,id,14.29,120.72,89.6,52,20,13.87
geraldton,au,49.72,-86.95,-2.21,64,90,2.73
san patricio,mx,-26.98,-56.83,70.8,99,92,3.51
ahipara,nz,-35.17,173.16,72.69,81,48,8.99
salalah,om,17.01,54.1,75.2,44,0,5.82
khorramshahr,ir,30.43,48.18,41.79,70,0,6.93
lasa,cn,34.92,32.53,51.55,66,75,11.41
benghazi,ly,32.12,20.07,63.65,100,32,21.74
kurumkan,ru,54.33,110.32,11.72,87,76,1.16
saint anthony,ca,43.97,-111.68,29.98,92,90,2.73
lorengau,pg,-2.02,147.27,86.15,91,0,10.45
dudinka,ru,69.41,86.18,-29.82,49,44,5.97
xuddur,so,4.12,43.89,72.6,67,0,16.15
vila franca do campo,pt,37.72,-25.43,55.4,93,40,9.17
mirnyy,ru,56.57,36.46,10.05,87,56,8.32
port blair,in,11.67,92.75,80.61,100,44,13.8
puri,in,-7.54,112.45,91.4,63,20,5.82
thompson,ca,55.74,-97.86,-11.21,69,75,6.93
honiara,sb,-9.43,159.96,79.49,91,80,2.62
mount isa,au,-20.73,139.49,102.2,27,40,10.29
sikandarpur,in,26.04,84.05,64.64,91,0,4.52
katobu,id,-4.94,122.53,88.8,76,64,2.84
mehamn,no,71.03,27.85,30.2,68,0,13.87
srednekolymsk,ru,67.46,153.71,-26.54,41,68,2.62
katangli,ru,51.71,143.23,6.72,100,8,17.27
nampula,mz,-15.12,39.26,73.4,94,75,9.66
quatre cocos,mu,-20.21,57.76,84.2,74,40,12.75
juarez,mx,-38.95,-67.92,51.8,71,0,7.43
yerbogachen,ru,61.28,108.01,-1.83,57,0,7.76
victoria,sc,5.28,115.24,88.81,70,75,9.17
mao,td,19.55,-71.08,69.8,94,75,3.36
lavrentiya,ru,65.58,-170.99,-10.79,92,0,17.05
berlevag,no,70.86,29.09,23.55,100,8,10.45
ribeira grande,pt,38.52,-28.7,60.95,100,64,20.29
bathsheba,bb,13.22,-59.52,78.8,74,20,14.99
termoli,it,42.0,14.99,42.54,100,92,14.7
khatanga,ru,71.98,102.47,-43.68,0,0,3.06
kribi,cm,2.94,9.91,72.6,100,0,3.96
arinos,br,-15.92,-46.11,72.2,74,92,4.97
punta arenas,cl,-53.16,-70.91,50.0,87,90,17.22
jumla,np,29.28,82.18,30.44,72,32,1.72
yulara,au,-25.24,130.99,109.4,13,0,5.82
havoysund,no,71.0,24.66,30.2,80,75,12.75
stadskanaal,nl,52.99,6.96,39.88,93,90,8.05
provideniya,ru,64.42,-173.23,-4.01,64,0,11.18
tondano,id,1.3,124.91,84.2,79,40,6.93
whitehorse,ca,60.72,-135.06,-14.81,75,75,5.82
paveh,ir,35.05,46.36,17.6,92,0,3.74
big spring,us,32.25,-101.48,51.87,80,1,17.22
saint-philippe,re,45.36,-73.48,9.03,60,90,16.11
baie-comeau,ca,49.22,-68.15,21.2,67,90,8.05
turukhansk,ru,65.8,87.96,-22.31,65,56,8.88
kijang,id,35.24,129.21,48.2,36,12,4.7
pisco,pe,-13.71,-76.2,71.6,88,75,6.93
erie,us,42.13,-80.09,20.14,62,90,13.87
udimskiy,ru,61.14,45.92,15.09,86,76,15.03
maniitsoq,gl,65.42,-52.9,5.6,100,0,6.76
pochutla,mx,15.74,-96.47,78.81,100,0,7.76
georgiyevskoye,ru,44.16,39.25,46.19,63,44,9.22
nishihara,jp,35.74,139.53,54.48,24,40,11.41
hilo,us,19.71,-155.08,71.06,84,75,3.36
katsuura,jp,33.93,134.5,51.66,54,75,16.11
mitsamiouli,km,-11.38,43.28,80.6,78,20,2.24
navahrudak,by,53.59,25.82,0.74,72,44,4.41
hailar,cn,49.2,119.7,14.37,63,0,4.41
tasiilaq,gl,65.61,-37.64,19.4,79,92,11.41
lahaina,us,20.87,-156.68,70.66,70,1,5.82
sfantu gheorghe,ro,44.65,26.83,29.3,100,90,11.41
vysokogornyy,ru,50.1,139.13,0.15,59,0,4.74
tadine,nc,-21.55,167.88,80.61,92,68,9.55
verkhnyaya inta,ru,65.99,60.32,-16.05,47,8,2.39
cabo san lucas,mx,22.89,-109.91,66.2,72,5,4.7
bitkine,td,11.98,18.21,60.81,52,0,4.74
brunico,it,46.8,11.94,26.6,86,75,4.7
constanza,do,18.91,-70.74,69.8,94,75,3.36
piopio,nz,-42.79,-73.57,41.05,93,44,3.06
ulladulla,au,-35.36,150.48,71.6,100,90,10.29
pesaro,it,43.91,12.91,40.1,48,20,10.29
ola,ru,59.58,151.3,7.98,100,36,13.91
kidal,ml,18.44,1.41,41.73,62,0,3.4
shingu,jp,33.72,135.99,53.6,100,75,16.11
yar-sale,ru,66.83,70.83,-20.46,90,24,9.22
longyearbyen,sj,78.22,15.63,14.0,51,75,29.97
tonekabon,ir,36.82,50.88,41.65,70,20,1.95
muswellbrook,au,-32.27,150.89,79.94,80,64,1.39
utica,us,43.1,-75.23,15.08,80,90,23.04
eyl,so,7.98,49.82,74.49,97,88,17.05
ust-kulom,ru,61.69,53.69,9.33,83,64,6.2
husavik,is,50.56,-96.99,10.64,91,88,4.07
narsaq,gl,60.91,-46.05,6.05,53,8,2.84
lagoa,pt,37.14,-8.45,50.0,31,0,14.99
port hardy,ca,50.7,-127.42,46.4,93,90,25.28
huai thalaeng,th,15.0,102.65,93.85,41,40,8.05
smirnykh,ru,49.74,142.83,6.95,46,0,12.8
takoradi,gh,4.89,-1.75,79.89,100,12,4.07
tuktoyaktuk,ca,69.44,-133.03,-27.41,67,40,9.17
tiznit,ma,29.7,-9.73,43.22,100,0,2.06
mikhaylovka,kz,52.96,103.29,10.41,76,80,9.55
iisalmi,fi,63.56,27.19,30.2,100,90,16.11
sidi ali,dz,36.1,0.42,39.75,97,80,0.72
havelock,ca,34.88,-76.9,33.57,49,1,13.87
kon tum,vn,14.36,108.0,82.77,46,8,3.74
barrow,us,-38.31,-60.23,44.84,82,0,3.85
zavetnoye,ru,47.12,43.89,17.7,87,76,13.8
santa josefa,ph,7.99,126.03,72.92,100,92,2.95
awjilah,ly,29.14,21.3,38.45,54,0,7.76
deputatskiy,ru,69.3,139.9,-35.04,61,44,2.73
nikolskoye,ru,59.7,30.79,23.0,85,90,11.18
gimli,ca,50.63,-96.99,10.64,91,88,4.07
gucheng,cn,32.27,111.65,45.47,75,0,2.39
kitimat,ca,54.02,-128.69,32.0,96,90,2.24
hasaki,jp,35.73,140.83,53.6,25,20,17.22
stepnogorsk,kz,52.35,71.88,2.0,87,64,3.96
kavieng,pg,-2.57,150.8,85.34,100,20,6.42
aurillac,fr,44.93,2.44,25.57,79,0,10.29
treuchtlingen,de,48.96,10.91,26.53,100,80,3.36
barranca,pe,-10.75,-77.76,72.02,100,80,7.76
gwadar,pk,25.12,62.33,73.77,77,24,6.87
vitre,fr,48.12,-1.21,40.1,86,90,4.7
arlit,ne,18.74,7.39,45.69,80,36,2.95
san ramon de la nueva oran,ar,-23.13,-64.33,68.69,97,100,11.79
tessalit,ml,20.2,1.01,38.58,62,0,2.73
iqaluit,ca,63.75,-68.52,-14.81,68,90,6.93
riohacha,co,11.54,-72.91,73.37,100,44,5.19
kiunga,pg,-6.12,141.3,90.78,57,48,3.62
alice springs,au,-23.7,133.88,104.0,15,40,11.41
ankazobe,mg,-18.32,47.12,69.8,83,40,1.12
adrian,us,41.9,-84.04,22.21,75,90,3.36
seymchan,ru,62.93,152.39,-23.52,67,44,2.39
pauini,br,-7.71,-67.0,74.09,95,92,4.97
kisangani,cd,0.52,25.21,71.84,98,8,3.18
esperance,au,10.24,-61.45,75.2,88,20,5.3
nadadores,mx,27.03,-101.59,45.6,87,32,0.6
kaitangata,nz,-46.28,169.85,53.61,75,24,17.49
faya,td,18.39,42.45,56.32,71,0,4.07
erzin,ru,36.95,36.2,41.0,75,40,10.29
imeni poliny osipenko,ru,52.42,136.49,-8.99,66,0,2.39
najran,sa,17.54,44.22,57.2,67,5,4.7
tokmak,kg,47.26,35.7,37.1,92,92,14.58
rio grande,br,-32.03,-52.1,68.28,100,44,7.99
puerto madero,mx,-34.61,-58.36,58.35,72,20,6.93
hofn,is,64.25,-15.21,36.06,100,92,16.71
antofagasta,cl,-23.65,-70.4,68.0,52,0,2.24
port shepstone,za,-30.74,30.45,74.67,84,8,13.24
uspenka,ru,48.39,39.16,35.3,95,92,13.8
sorong,id,-0.86,131.25,84.21,100,8,9.44
murgab,tm,37.5,61.97,41.0,80,75,16.11
pacific grove,us,36.62,-121.92,49.62,92,90,3.36
lazo,ru,47.89,27.93,22.11,91,88,13.02
durusu,tr,37.53,40.83,28.09,100,0,2.24
sola,vu,58.89,5.65,44.6,87,75,14.99
tashtyp,ru,52.8,89.89,8.16,63,0,4.41
zlitan,ly,32.47,14.57,41.37,100,44,6.53
kargil,in,34.56,76.13,-1.29,83,80,1.5
ajaccio,fr,41.93,8.74,32.61,55,0,8.05
druskininkai,lt,54.02,23.98,8.6,92,90,4.47
zhigansk,ru,66.77,123.37,-30.27,50,48,6.2
prieska,za,-29.67,22.74,68.6,28,0,4.29
gao,ml,16.28,-0.04,49.79,74,0,2.95
jiuquan,cn,39.73,98.49,20.13,74,0,2.17
komsomolskiy,ru,67.55,63.78,-8.85,65,24,14.14
isangel,vu,-19.55,169.27,80.52,100,48,9.78
bethel,us,60.79,-161.76,-18.21,76,1,13.87
pokhara,np,28.21,83.99,53.88,59,0,2.73
jining,cn,35.41,116.58,42.32,74,68,4.97
port elizabeth,za,39.31,-74.98,29.86,55,90,21.92
cilegon,id,-6.02,106.05,87.8,62,20,10.29
anito,ph,12.45,125.29,81.06,95,76,18.84
college,us,64.86,-147.8,-29.71,70,20,3.18
purpe,ru,64.48,76.69,-25.64,39,32,5.19
torbay,ca,47.66,-52.73,35.6,100,90,11.41
puerto ayora,ec,-0.74,-90.35,74.99,100,56,2.95
aleksandrov gay,ru,50.14,48.57,2.22,59,68,5.64
harpanahalli,in,14.8,75.98,77.55,67,0,7.76
surt,ly,31.21,16.59,49.47,100,64,7.2
muisne,ec,0.61,-80.02,72.6,95,100,2.73
antalaha,mg,-14.9,50.28,78.59,99,68,2.73
vanavara,ru,60.35,102.28,-4.35,51,20,6.08
henties bay,na,-22.12,14.28,60.9,100,48,1.61
mozarlandia,br,-14.74,-50.57,71.12,89,56,2.51
gopalpur,in,25.6,86.94,70.62,65,0,4.41
poddorye,ru,57.47,31.12,7.04,78,68,15.03
cayenne,gf,4.94,-52.33,78.8,78,88,4.7
araguaina,br,-7.19,-48.21,69.27,96,92,6.2
nha trang,vn,12.24,109.19,86.0,70,20,14.99
mitu,co,36.2,46.09,14.73,63,0,2.39
fuerte olimpo,py,-21.04,-57.87,81.6,68,24,7.54
naron,es,43.52,-8.15,35.6,74,0,3.36
juybar,ir,36.64,52.91,40.1,75,0,4.7
beringovskiy,ru,63.05,179.32,15.45,92,64,22.19
coihaique,cl,-45.58,-72.07,48.99,57,0,4.7
ingersoll,ca,43.04,-80.88,14.41,79,90,5.82
tabas,ir,33.6,56.92,39.2,64,12,4.7
constitucion,mx,23.99,-104.67,46.86,61,0,8.77
zhanakorgan,kz,43.91,67.25,27.74,88,56,3.96
aqtobe,kz,50.28,57.21,-5.81,83,90,2.24
mahebourg,mu,-20.41,57.7,84.2,74,40,12.75
priargunsk,ru,50.37,119.09,10.23,63,0,4.41
agadir,ma,30.42,-9.58,42.8,81,0,6.93
san quintin,mx,17.54,120.52,84.35,56,0,4.52
kutum,sd,14.2,24.66,50.91,46,0,4.85
bandar-e lengeh,ir,26.56,54.88,69.8,37,0,6.93
namatanai,pg,-3.66,152.44,86.55,91,12,14.36
broken hill,au,-31.97,141.45,100.4,8,0,12.75
hutchinson,us,38.06,-97.93,34.81,77,1,6.93
maloy,no,1.0,118.1,88.22,55,76,4.18
doctor arroyo,mx,23.67,-100.18,37.95,90,0,3.06
fomboni,km,-12.28,43.74,84.39,100,68,11.23
afrikanda,ru,67.44,32.78,29.4,87,88,7.54
gorele,tr,41.03,39.0,51.8,40,0,4.7
tokur,ru,53.13,132.9,-10.34,65,0,2.51
severodvinsk,ru,64.56,39.82,23.0,85,90,20.13
necochea,ar,-38.55,-58.74,43.85,100,0,3.74
puerto cabezas,ni,14.04,-83.39,77.46,99,92,10.0
norman wells,ca,65.28,-126.83,-36.41,65,75,3.18
ujhani,in,28.0,79.01,61.35,100,0,4.63
upernavik,gl,72.79,-56.15,-7.37,100,12,8.21
khasan,ru,42.43,130.64,33.5,68,8,1.5
noumea,nc,-22.28,166.46,87.8,62,44,13.87
coahuayana,mx,18.62,-100.35,56.76,78,0,3.18
sassenberg,de,51.99,8.04,34.7,100,90,5.82
hamilton,bm,43.26,-79.87,13.1,78,20,9.17
carnarvon,au,-30.97,22.13,62.16,39,12,4.52
booue,ga,-0.09,11.94,70.26,99,80,3.62
ranong,th,9.96,98.62,87.8,62,40,9.17
chuy,uy,-33.69,-53.46,66.21,100,80,3.18
sakti,in,22.03,82.96,72.51,67,0,4.41
tomatlan,mx,19.93,-105.25,64.59,91,0,2.06
cienfuegos,cu,22.15,-80.44,52.88,87,0,5.82
viedma,ar,-40.81,-62.99,53.12,71,0,12.8
kurchum,kz,48.57,83.65,17.61,99,80,4.52
roald,no,62.58,6.12,37.96,64,75,19.46
port lincoln,au,-34.72,135.86,85.11,53,68,13.69
biak,id,-0.91,122.88,85.79,81,44,2.51
riyadh,sa,24.63,46.72,48.2,49,0,5.82
labuan,my,5.28,115.24,88.81,70,75,9.17
ciudad bolivar,ve,8.12,-63.55,78.27,66,8,13.35
fort nelson,ca,58.81,-122.69,-14.81,75,75,3.36
bayir,jo,37.27,28.22,55.78,62,75,11.41
constantine,dz,36.36,6.61,30.2,92,75,4.7
iskateley,ru,67.68,53.15,-0.93,78,80,27.78
buchanan,lr,5.88,-10.05,79.4,100,12,5.97
camaqua,br,-30.85,-51.81,69.99,94,64,6.64
kadoma,zw,-18.34,29.91,68.91,99,88,4.52
genhe,cn,50.78,121.52,13.34,74,0,3.74
gari,ru,59.43,62.35,4.2,80,68,2.39
hay river,ca,60.82,-115.79,-2.21,77,90,4.7
nizhneudinsk,ru,54.91,99.03,9.96,59,64,8.66
pandan niog,ph,6.23,120.56,82.95,100,36,5.08
labuhan,id,-2.54,115.51,76.83,92,88,1.39
pangai,to,-19.8,-174.35,82.4,83,40,9.17
vanimo,pg,-2.67,141.3,81.96,100,8,11.45
ereymentau,kz,51.62,73.1,1.68,87,68,4.63
antsirabe,mg,-19.87,47.03,67.83,94,64,3.62
dawlatabad,af,36.41,64.91,42.54,85,32,14.25
porto belo,br,-27.15,-48.54,77.0,83,0,2.24
ostersund,se,63.18,14.64,32.0,62,20,41.38
victor harbor,au,-35.55,138.62,93.2,13,0,5.82
larsnes,no,62.2,5.58,38.62,74,75,19.46
nichinan,jp,31.65,131.31,51.49,62,75,2.24
balkanabat,tm,39.51,54.36,35.88,90,0,2.28
sri aman,my,1.24,111.46,89.6,66,75,1.12
urengoy,ru,65.96,78.37,-23.39,70,32,7.2
fagersta,se,60.0,15.79,33.87,79,20,10.29
rupert,us,42.62,-113.68,34.16,92,90,3.29
birin,dz,35.01,36.67,29.58,100,76,2.95
ruteng,id,-8.61,120.46,79.71,88,68,4.52
saldanha,za,41.42,-6.55,19.19,91,0,4.52
coquimbo,cl,-29.95,-71.34,59.0,87,75,5.82
makakilo city,us,21.35,-158.09,71.69,78,1,4.7
sjenica,rs,43.27,20.0,19.23,92,88,2.39
sur,om,22.57,59.53,73.41,100,32,9.33
kathmandu,np,27.71,85.32,55.4,66,20,2.24
borogontsy,ru,62.67,131.17,-33.78,60,48,6.42
tula,mx,54.19,37.62,12.89,88,76,6.64
aklavik,ca,68.22,-135.01,-23.81,67,90,3.36
ambon,id,47.55,-2.56,39.85,100,90,4.7
young,au,-32.7,-57.63,61.4,96,0,9.1
avarua,ck,-21.21,-159.78,78.8,74,75,12.75
charters towers,au,-20.07,146.27,76.79,96,88,13.58
byron bay,au,-28.65,153.62,85.15,58,0,13.87
eydhafushi,mv,5.1,73.07,81.65,100,0,10.33
namibe,ao,-15.19,12.15,73.5,100,0,1.28
nogliki,ru,51.8,143.14,6.72,100,8,17.27
tilichiki,ru,60.47,166.1,22.7,81,36,11.79
manakara,mg,-22.14,48.01,81.47,97,32,8.77
west allis,us,43.02,-88.01,19.08,73,90,2.62
khartoum,sd,15.59,32.54,66.2,39,0,13.87
roros,no,62.57,11.38,28.4,79,90,38.03
espanola,us,46.27,-81.77,-0.3,65,12,4.85
opole lubelskie,pl,51.15,21.97,14.0,92,90,2.24
tigil,ru,57.8,158.67,3.17,73,56,3.06
lapy,pl,52.99,22.88,8.88,78,56,3.4
pitimbu,br,-7.47,-34.81,75.2,94,20,8.05
nago,jp,45.88,10.89,26.6,73,0,4.7
kruisfontein,za,-34.0,24.73,67.79,82,0,4.97
kirakira,sb,-10.46,161.92,84.03,100,76,7.99
mount gambier,au,-37.83,140.78,93.2,13,8,17.22
salamiyah,sy,35.01,37.05,24.32,75,8,2.39
porbandar,in,21.64,69.61,69.8,40,0,3.36
okha,ru,53.59,142.95,1.82,89,0,14.25
port keats,au,-14.25,129.55,92.85,75,0,9.44
hualmay,pe,-11.1,-77.61,64.86,92,36,3.29
nizhniy odes,ru,63.64,54.86,-4.94,81,68,6.31
kahului,us,20.89,-156.47,71.13,70,1,5.82
danilovka,ru,50.35,44.12,11.76,88,88,11.56
veraval,in,49.65,0.71,42.8,93,90,4.7
gravdal,no,59.79,5.78,41.86,70,80,24.16
abu samrah,qa,35.3,37.18,30.39,86,8,3.74
emerald,au,-23.53,148.16,86.0,48,90,8.05
bilibino,ru,68.06,166.44,-14.43,63,0,2.84
southbridge,us,42.08,-72.03,24.44,53,90,23.04
bondo,cd,3.81,23.69,74.09,89,0,2.28
ambilobe,mg,-13.19,49.05,79.94,98,64,4.63
lensk,ru,60.71,114.91,11.58,79,80,2.95
souillac,mu,45.6,-0.6,30.4,100,36,3.4
luderitz,na,-26.65,15.16,58.7,88,0,6.42
santiago del estero,ar,-27.8,-64.26,64.86,77,92,15.03
karaj,ir,35.81,51.01,30.81,49,0,6.93
alliance,us,42.1,-102.87,25.11,87,1,3.36
nome,us,30.04,-94.42,45.79,81,1,7.2
hirara,jp,24.8,125.28,78.8,83,40,9.17
la ronge,ca,55.1,-105.3,1.4,84,90,5.82
lapua,fi,62.97,23.01,34.77,74,0,13.87
abu kamal,sy,34.45,40.92,35.7,79,0,2.73
bonavista,ca,48.65,-53.11,29.67,93,92,4.97
flin flon,ca,54.77,-101.88,2.94,83,80,4.85
baykit,ru,61.68,96.39,-11.87,54,24,10.78
haines junction,ca,60.75,-137.51,-45.17,0,8,2.17
nyurba,ru,63.29,118.35,-9.89,68,36,2.73
puerto asis,co,0.51,-76.5,72.24,96,88,2.17
mirandola,it,44.89,11.07,28.33,58,0,8.05
banda aceh,id,5.56,95.32,82.14,86,48,3.96
north bend,us,43.41,-124.22,48.92,96,1,4.7
